ID,Entry,Gene names,Cross-reference (STRING)
1078,Q8IZD6,SLC22A15 FLIPT1 UNQ9429/PRO34686,9606.ENSP00000358515
1079,Q9Y230,RUVBL2 INO80J TIP48 TIP49B CGI-46,9606.ENSP00000473172
1080,Q6P5W5,SLC39A4 ZIP4,9606.ENSP00000301305
1081,Q9NQQ7,SLC35C2 C20orf5 OVCOV1 CGI-15,9606.ENSP00000318960
1082,Q96FL8,SLC47A1 MATE1,9606.ENSP00000270570
1083,Q9BRY0,SLC39A3 ZIP3,9606.ENSP00000269740
1084,Q9NUM3,SLC39A9 ZIP9 UNQ714/PRO1377,9606.ENSP00000336887
1085,Q969I6,SLC38A4 ATA3 NAT3 SNAT4,9606.ENSP00000389843
1086,P08621,SNRNP70 RNPU1Z RPU1 SNRP70 U1AP1,9606.ENSP00000472998
1087,Q96DX8,RTP4 IFRG28 Z3CXXC4,9606.ENSP00000259030
1088,Q9HAB3,SLC52A2 GPR172A PAR1 RFT3,9606.ENSP00000436768
1089,Q9HBX9,RXFP1 LGR7,9606.ENSP00000405841
1090,Q9UDX4,SEC14L3 TAP2,9606.ENSP00000215812
1091,O00422,SAP18 GIG38,9606.ENSP00000481842
1092,P48061,CXCL12 SDF1 SDF1A SDF1B,9606.ENSP00000379140
1093,Q9UQR0,SCML2,9606.ENSP00000251900
1094,Q8N228,SCML4,9606.ENSP00000358016
1095,P21912,SDHB SDH SDH1,9606.ENSP00000364649
1096,Q8IWL1,SFTPA2 COLEC5 PSAP SFTP1 SFTPA SFTPA2B,9606.ENSP00000361400
1097,Q14242,SELPLG,9606.ENSP00000228463
1098,Q9Y5W7,SNX14,9606.ENSP00000313121
1099,Q9Y6B6,SAR1B SARA2 SARB,9606.ENSP00000385432
1100,O95149,SNUPN RNUT1 SPN1,9606.ENSP00000454852
1101,Q9UN79,SOX13,9606.ENSP00000356172
1102,P56693,SOX10,9606.ENSP00000380093
1103,Q9Y5K1,SPO11,9606.ENSP00000360310
1104,O15198,SMAD9 MADH6 MADH9 SMAD8,9606.ENSP00000369154
1105,P35713,SOX18,9606.ENSP00000341815
1106,P35610,SOAT1 ACACT ACACT1 ACAT ACAT1 SOAT STAT,9606.ENSP00000356591
1107,O43761,SYNGR3,9606.ENSP00000248121
1108,Q9NWM0,SMOX C20orf16 SMO UNQ3039/PRO9854,9606.ENSP00000478305
1109,Q4W5P6,SMIM43 TMEM155,9606.ENSP00000336987
1110,A6NFE2,SMCO2 C12orf70,9606.ENSP00000387617
1111,P09012,SNRPA,9606.ENSP00000243563
1112,Q8WW59,SPRYD4,9606.ENSP00000338034
1113,Q9NY99,SNTG2,9606.ENSP00000311837
1114,Q495Y8,SPDYE2,9606.ENSP00000421686
1115,Q6PJ21,SPSB3 C16orf31 SSB3,9606.ENSP00000457206
1116,Q8IWZ8,SUGP1 SF4,9606.ENSP00000247001
1117,Q96I99,SUCLG2,9606.ENSP00000419325
1118,Q8N9Q2,SREK1IP1 P18SRP SFRS12IP1,9606.ENSP00000427401
1119,P08240,SRPRA SRPR,9606.ENSP00000328023
1120,Q9H5V9,STEEP1 CXorf56,9606.ENSP00000441786
1121,Q8TB05,UBALD1 FAM100A PP11303,9606.ENSP00000283474
1122,Q8NBL3,TMEM178A TMEM178 PSEC0131 UNQ5926/PRO19820,9606.ENSP00000281961
1123,Q8NDZ6,TMEM161B UNQ679/PRO1313,9606.ENSP00000426354
1124,P59543,TAS2R20 TAS2R49,9606.ENSP00000441624
1125,P50991,CCT4 CCTD SRB,9606.ENSP00000377958
1126,P10636,MAPT MAPTL MTBT1 TAU,9606.ENSP00000340820
1127,Q7L8C5,SYT13 KIAA1427,9606.ENSP00000020926
1128,P54274,TERF1 PIN2 TRBF1 TRF TRF1,9606.ENSP00000276603
1129,Q9NZI6,TFCP2L1 CRTR1 LBP9,9606.ENSP00000263707
1130,Q86UB9,TMEM135,9606.ENSP00000306344
1131,Q96AQ2,TMEM125,9606.ENSP00000429275
1132,Q9Y5M6,OCLM,9606.ENSP00000460371
1133,Q9NYW7,TAS2R1,9606.ENSP00000371932
1134,P37173,TGFBR2,9606.ENSP00000351905
1135,Q7L0Y3,TRMT10C MRPP1 RG9MTD1,9606.ENSP00000312356
1136,Q9Y5Q9,GTF3C3,9606.ENSP00000263956
1137,Q13569,TDG,9606.ENSP00000376611
1138,Q13445,TMED1 IL1RL1L IL1RL1LG,9606.ENSP00000214869
1139,P50616,TOB1 TOB TROB1,9606.ENSP00000427695
1140,Q969K7,TMEM54 BCLP CAC1,9606.ENSP00000362562
1141,Q3KNT9,TMEM95 UNQ9390/PRO34281,9606.ENSP00000331466
1142,Q8WVR3,TRAPPC14 C7orf43 MAP11,9606.ENSP00000324741
1143,Q9NS93,TM7SF3,9606.ENSP00000342322
1144,Q5SV17,TMEM240 C1orf70,9606.ENSP00000368007
1145,Q5VVB8,TMEM244 C6orf191,9606.ENSP00000357125
1146,Q7Z403,TMC6 EVER1 EVIN1,9606.ENSP00000465261
1147,Q9Y2W1,THRAP3 BCLAF2 TRAP150,9606.ENSP00000346634
1148,Q99614,TTC1 TPR1,9606.ENSP00000231238
1149,Q9HBA0,TRPV4 VRL2 VROAC,9606.ENSP00000406191
1150,P62079,TSPAN5 TM4SF9,9606.ENSP00000307701
1151,Q96QS1,TSPAN32 PHEMX TSSC6,9606.ENSP00000182290
1152,Q8N841,TTLL6 TTL.6,9606.ENSP00000377043
1153,Q6ZN44,UNC5A KIAA1976 UNC5H1,9606.ENSP00000332737
1154,Q9C0B0,UNK KIAA1753 ZC3H5 ZC3HDC5,9606.ENSP00000464893
1155,Q8NDH3,NPEPL1 KIAA1974,9606.ENSP00000348395
1156,Q13371,PDCL PHLOP1 PhLP1,9606.ENSP00000259467
1157,Q86YW0,PLCZ1,9606.ENSP00000266505
1158,P08567,PLEK P47,9606.ENSP00000234313
1159,P23284,PPIB CYPB,9606.ENSP00000300026
1160,Q7Z4H8,POGLUT3 KDELC2 UNQ1904/PRO4350,9606.ENSP00000315386
1161,Q5JR12,PPM1J PPP2CZ,9606.ENSP00000308926
1162,Q12837,POU4F2 BRN3B,9606.ENSP00000281321
1163,Q01851,POU4F1 BRN3A RDC1,9606.ENSP00000366413
1164,Q9NRQ2,PLSCR4 GIG43,9606.ENSP00000347038
1165,Q04941,PLP2 A4,9606.ENSP00000365505
1166,Q9HB21,PLEKHA1 TAPP1,9606.ENSP00000357986
1167,O43808,SLC25A17 PMP34,9606.ENSP00000390722
1168,Q9GZP4,PITHD1 C1orf128 AD039 HT014 PP603,9606.ENSP00000246151
1169,P07225,PROS1 PROS,9606.ENSP00000377783
1170,Q8NCQ7,PROCA1,9606.ENSP00000301039
1171,Q9NQV8,PRDM8 PFM5,9606.ENSP00000339764
1172,Q9BRX8,PRXL2A C10orf58 FAM213A PAMM PRO2290 PSEC0139 UNQ611/PRO1198,9606.ENSP00000482445
1173,O95072,REC8 REC8L1,9606.ENSP00000482546
1174,Q9NW13,RBM28,9606.ENSP00000223073
1175,Q9H5N1,RABEP2 RABPT5B,9606.ENSP00000350934
1176,P0C0E4,RAB40AL RLGP,9606.ENSP00000218249
1177,P55895,RAG2,9606.ENSP00000478672
1178,O60894,RAMP1,9606.ENSP00000254661
1179,Q8IZP6,RNF113B RNF161 ZNF183L1,9606.ENSP00000267291
1180,Q96PK6,RBM14 SIP,9606.ENSP00000311747
1181,Q9UKM9,RALY HNRPCL2 P542,9606.ENSP00000246194
1182,Q99638,RAD9A,9606.ENSP00000311360
1183,P20339,RAB5A RAB5,9606.ENSP00000273047
1184,Q7L804,RAB11FIP2 KIAA0941,9606.ENSP00000347839
1185,P35250,RFC2,9606.ENSP00000055077
1186,Q6NW40,RGMB,9606.ENSP00000308219
1187,Q06587,RING1 RNF1,9606.ENSP00000363787
1188,P09001,MRPL3 MRL3 RPML3,9606.ENSP00000264995
1189,Q9GZM3,POLR2J2,9606.ENSP00000330898
1190,Q9Y4C2,TCAF1 FAM115A KIAA0738,9606.ENSP00000419235
1191,Q13148,TARDBP TDP43,9606.ENSP00000240185
1192,Q9Y242,TCF19 SC1,9606.ENSP00000365433
1193,Q9H4B7,TUBB1,9606.ENSP00000217133
1194,Q9H0I9,TKTL2,9606.ENSP00000280605
1195,Q9P2Z0,THAP10,9606.ENSP00000249861
1196,Q96I45,TMEM141,9606.ENSP00000290079
1197,Q8N614,TMEM156,9606.ENSP00000371364
1198,Q8WZ59,TMEM190 MDAC1,9606.ENSP00000291934
1199,Q15399,TLR1 KIAA0012,9606.ENSP00000354932
1200,Q5HYL7,TMEM196,9606.ENSP00000384234
1201,Q9GZN2,TGIF2,9606.ENSP00000362981
1202,Q5HYJ1,TECRL SRD5A2L2,9606.ENSP00000370607
1203,Q03167,TGFBR3,9606.ENSP00000212355
1204,Q9UKN8,GTF3C4,9606.ENSP00000361219
1205,Q9BXF9,TEKT3,9606.ENSP00000379263
1206,Q8WW24,TEKT4,9606.ENSP00000295201
1207,O43715,TRIAP1 15E1.1 HSPC132,9606.ENSP00000449795
1208,P34981,TRHR,9606.ENSP00000430711
1209,P28908,TNFRSF8 CD30 D1S166E,9606.ENSP00000263932
1210,Q9Y5R8,TRAPPC1 BET5 MUM2,9606.ENSP00000302783
1211,Q9NZR1,TMOD2 NTMOD,9606.ENSP00000249700
1212,O15344,MID1 FXY RNF59 TRIM18 XPRF,9606.ENSP00000312678
1213,Q8N0U2,TMEM61,9606.ENSP00000360315
1214,Q9H3N1,TMX1 TMX TXNDC TXNDC1 PSEC0085 UNQ235/PRO268,9606.ENSP00000393316
1215,Q13595,TRA2A,9606.ENSP00000297071
1216,Q8N6I4,TMEM251 C14orf109,9606.ENSP00000388431
1217,Q6N075,MFSD5 UNQ832/PRO1759,9606.ENSP00000442688
1218,Q09328,MGAT5 GGNT5,9606.ENSP00000386377
1219,Q8NCY6,MSANTD4 KIAA1826 DC25,9606.ENSP00000304713
1220,Q56VL3,OCIAD2,9606.ENSP00000423014
1221,O95156,NXPH2 NPH2,9606.ENSP00000272641
1222,Q9Y4A9,OR10H1,9606.ENSP00000335596
1223,O43692,PI15 CRISP8 P25TI,9606.ENSP00000260113
1224,Q9UBF8,PI4KB PIK4CB,9606.ENSP00000357869
1225,Q8IV76,PASD1,9606.ENSP00000359382
1226,P11309,PIM1,9606.ENSP00000362608
1227,P00558,PGK1 PGKA MIG10 OK/SW-cl.110,9606.ENSP00000362413
1228,P40855,PEX19 HK33 PXF OK/SW-cl.22,9606.ENSP00000357051
1229,Q8N0Y7,PGAM4 PGAM3,9606.ENSP00000412189
1230,Q6S545,POTEH A26C3 ACTBL1 POTE22,9606.ENSP00000340610
1231,O43688,PLPP2 LPP2 PPAP2C,9606.ENSP00000329697
1232,P05186,ALPL,9606.ENSP00000363973
1233,P60510,PPP4C PPP4 PPX,9606.ENSP00000279387
1234,Q9UHV8,LGALS13 PLAC8,9606.ENSP00000221797
1235,Q9NRY6,PLSCR3,9606.ENSP00000438547
1236,P13796,LCP1 PLS2,9606.ENSP00000381581
1237,P55058,PLTP,9606.ENSP00000417138
1238,O00469,PLOD2,9606.ENSP00000282903
1239,Q9H4M7,PLEKHA4 PEPP1,9606.ENSP00000263265
1240,Q99640,PKMYT1 MYT1,9606.ENSP00000262300
1241,Q8ND90,PNMA1 MA1,9606.ENSP00000318914
1242,Q9UMR5,PPT2,9606.ENSP00000354608
1243,P0CW24,PNMA6A PNMA6C,9606.ENSP00000391488
1244,P11086,PNMT PENT,9606.ENSP00000269582
1245,P60900,PSMA6 PROS27,9606.ENSP00000261479
1246,Q5VXH4,PRAMEF6,9606.ENSP00000365360
1247,Q5VXH5,PRAMEF7,9606.ENSP00000484237
1248,P28070,PSMB4 PROS26,9606.ENSP00000290541
1249,P20472,PVALB,9606.ENSP00000216200
1250,Q2L4Q9,PRSS53,9606.ENSP00000280606
1251,O14684,PTGES MGST1L1 MPGES1 PGES PIG12,9606.ENSP00000342385
1252,Q969U7,PSMG2 HCCA3 PAC2 TNFSF5IP1,9606.ENSP00000325919
1253,Q5JS13,RALGPS1 KIAA0351 RALGEF2,9606.ENSP00000259351
1254,Q86TS9,MRPL52,9606.ENSP00000347277
1255,P49406,MRPL19 KIAA0104 MRPL15,9606.ENSP00000377486
1256,Q9Y2J0,RPH3A KIAA0985,9606.ENSP00000374036
1257,Q96L03,SPATA17,9606.ENSP00000355900
1258,Q8NHS9,SPATA22,9606.ENSP00000459580
1259,A0PJX4,SHISA3,9606.ENSP00000326445
1260,Q9H173,SIL1 UNQ545/PRO836,9606.ENSP00000378294
1261,Q6ZMC9,SIGLEC15 CD33L3,9606.ENSP00000374125
1262,Q9UPV9,TRAK1 KIAA1042 OIP106,9606.ENSP00000328998
1263,Q7M4L6,SHF,9606.ENSP00000290894
1264,Q9Y286,SIGLEC7 AIRM1,9606.ENSP00000323328
1265,Q4ZJI4,SLC9B1 NHA1 NHEDC1,9606.ENSP00000296422
1266,Q8NHG7,SVIP,9606.ENSP00000346130
1267,Q8IYI0,SHLD1 C20orf196 RINN3,9606.ENSP00000305875
1268,Q2M3V2,SOWAHA ANKRD43,9606.ENSP00000367965
1269,Q8TE77,SSH3 SSH3L,9606.ENSP00000312081
1270,A7MD48,SRRM4 KIAA1853,9606.ENSP00000267260
1271,P78362,SRPK2,9606.ENSP00000377262
1272,O60687,SRPX2 SRPUL,9606.ENSP00000362095
1273,Q86WV6,STING1 ERIS MITA TMEM173,9606.ENSP00000331288
1274,Q14849,STARD3 CAB1 MLN64,9606.ENSP00000337446
1275,Q9NNX1,TUFT1,9606.ENSP00000357842
1276,P50226,SULT1A2 STP2,9606.ENSP00000378992
1277,Q14140,SERTAD2 KIAA0127 TRIPBR2,9606.ENSP00000326933
1278,P21549,AGXT AGT1 SPAT,9606.ENSP00000302620
1279,Q13188,STK3 KRS1 MST2,9606.ENSP00000429744
1280,O75897,SULT1C4 SULT1C2,9606.ENSP00000272452
1281,Q9BZM4,ULBP3 N2DL3 RAET1N,9606.ENSP00000356308
1282,H3BQB6,STMND1,9606.ENSP00000455698
1283,Q9NZ72,STMN3 SCLIP,9606.ENSP00000359070
1284,Q9UJZ1,STOML2 SLP2 HSPC108,9606.ENSP00000348886
1285,O95210,STBD1 GENX-3414,9606.ENSP00000237642
1286,Q92783,STAM STAM1,9606.ENSP00000366746
1287,P16949,STMN1 C1orf215 LAP18 OP18,9606.ENSP00000410452
1288,Q8N983,MRPL43,9606.ENSP00000339844
1289,P04844,RPN2,9606.ENSP00000237530
1290,Q96LT9,RNPC3 KIAA1839 RBM40 RNP SNRNP65,9606.ENSP00000432886
1291,Q6ZSG1,RNF165,9606.ENSP00000269439
1292,O95059,RPP14,9606.ENSP00000412894
1293,Q9BUL9,RPP25,9606.ENSP00000317691
1294,P62249,RPS16,9606.ENSP00000251453
1295,Q15050,RRS1 KIAA0112 RRR,9606.ENSP00000322396
1296,Q86VW1,SLC22A16 OCT6,9606.ENSP00000357915
1297,A6NKX4,SLC22A31,9606.ENSP00000481421
1298,Q9Y3D9,MRPS23 CGI-138 HSPC329,9606.ENSP00000320184
1299,Q3SY17,SLC25A52 MCART2,9606.ENSP00000372612
1300,Q9NXZ1,SAGE1 SAGE,9606.ENSP00000323191
1301,Q92552,MRPS27 KIAA0264,9606.ENSP00000426941
1302,Q8TE54,SLC26A7 SUT2,9606.ENSP00000309504
1303,P82909,MRPS36 KGD4 DC47,9606.ENSP00000256441
1304,Q96RN1,SLC26A8 TAT1,9606.ENSP00000417638
1305,Q6ZR62,RTL4 MAR3 MART4 ZCCHC16,9606.ENSP00000340590
1306,O75298,RTN2 NSPL1,9606.ENSP00000245923
1307,A4IF30,SLC35F4 C14orf36,9606.ENSP00000342518
1308,Q8N2U9,SLC66A2 PQLC1,9606.ENSP00000380880
1309,Q86UC2,RSPH3 RSHL2 RSP3,9606.ENSP00000252655
1310,A6NH21,SERINC4,9606.ENSP00000319796
1311,P35247,SFTPD COLEC7 PSPD SFTP4,9606.ENSP00000361366
1312,O43175,PHGDH PGDH3,9606.ENSP00000358417
1313,Q13228,SELENBP1 SBP,9606.ENSP00000397261
1314,Q5FBB7,SGO1 SGOL1,9606.ENSP00000263753
1315,Q9BYL1,SAMD10 C20orf136,9606.ENSP00000358902
1316,Q92629,SGCD,9606.ENSP00000338343
1317,O00141,SGK1 SGK,9606.ENSP00000356832
1318,Q01105,SET,9606.ENSP00000361777
1319,Q9BWG6,SCNM1,9606.ENSP00000357901
1320,Q9P0Z9,PIPOX LPIPOX PSO,9606.ENSP00000317721
1321,A8MWV9,SMIM34A,9606.ENSP00000397039
1322,Q8IY81,FTSJ3 SB92,9606.ENSP00000396673
1323,P29508,SERPINB3 SCCA SCCA1,9606.ENSP00000283752
1324,P60880,SNAP25 SNAP,9606.ENSP00000254976
1325,O15079,SNPH KIAA0374,9606.ENSP00000371297
1326,Q8IW52,SLITRK4,9606.ENSP00000469205
1327,P52788,SMS,9606.ENSP00000385746
1328,P84550,SKOR1 CORL1 FUSSEL15 LBXCOR1,9606.ENSP00000343200
1329,Q6ZNX1,SHLD3 FLJ26957 RINN1,9606.ENSP00000424007
1330,Q9Y2E8,SLC9A8 KIAA0939 NHE8,9606.ENSP00000416418
1331,Q9BRV8,SIKE1 SIKE,9606.ENSP00000358541
1332,Q96RL6,SIGLEC11 UNQ9222/PRO28718,9606.ENSP00000412361
1333,A6NEL2,SOWAHB ANKRD56,9606.ENSP00000334879
1334,Q16623,STX1A STX1,9606.ENSP00000222812
1335,P46977,STT3A ITM1 TMC,9606.ENSP00000376472
1336,Q9Y6J8,STYXL1 DUSP24 MKSTYX,9606.ENSP00000248600
1337,Q5JPH6,EARS2 KIAA1970,9606.ENSP00000395196
1338,A6NDD5,SYNDIG1L TMEM90A,9606.ENSP00000331474
1339,Q8IYN6,UBALD2 FAM100B,9606.ENSP00000331298
1340,Q9BYX2,TBC1D2 PARIS1 PP8997 TBC1D2A,9606.ENSP00000481721
1341,P50591,TNFSF10 APO2L TRAIL,9606.ENSP00000241261
1342,Q9NZC2,TREM2,9606.ENSP00000362205
1343,Q9Y577,TRIM17 RBCC RNF16 TERF,9606.ENSP00000355658
1344,Q9BYJ4,TRIM34 IFP1 RNF21,9606.ENSP00000346916
1345,Q9H497,TOR3A ADIR,9606.ENSP00000356599
1346,Q9Y3C4,TPRKB CGI-121 My019,9606.ENSP00000272424
1347,Q9BZW4,TM6SF2,9606.ENSP00000374014
1348,Q9NRS4,TMPRSS4 TMPRSS3 UNQ776/PRO1570,9606.ENSP00000477949
1349,P59282,TPPP2 C14orf8,9606.ENSP00000317595
1350,Q96NM4,TOX2 C20orf100 GCX1,9606.ENSP00000344724
1351,Q96KP6,TNIP3 ABIN3 LIND,9606.ENSP00000426613
1352,Q6ICL3,TANGO2 C22orf25,9606.ENSP00000403645
1353,Q6XPS3,TPTE2 TPIP,9606.ENSP00000383089
1354,Q8N7C4,TMEM217 C6orf128,9606.ENSP00000338164
1355,Q8NBP0,TTC13 PSEC0076,9606.ENSP00000355621
1356,Q96ER9,CCDC51 MITOK,9606.ENSP00000379047
1357,Q9BV36,MLPH SLAC2A,9606.ENSP00000264605
1358,Q8NGC5,OR6J1 OR6J2,9606.ENSP00000437629
1359,Q2M2E3,ODF4 OPPO1,9606.ENSP00000331086
1360,Q8N323,NXPE1 FAM55A,9606.ENSP00000251921
1361,Q8IXM7,ODF3L1,9606.ENSP00000329584
1362,O95371,OR2C1 OR2C2P,9606.ENSP00000307726
1363,Q8NCN5,PDPR KIAA1990,9606.ENSP00000288050
1364,Q9Y5H1,PCDHGA2,9606.ENSP00000378077
1365,Q8IVL6,P3H3 LEPREL2,9606.ENSP00000478600
1366,Q99755,PIP5K1A,9606.ENSP00000357883
1367,Q15198,PDGFRL PRLTS,9606.ENSP00000444211
1368,Q15121,PEA15,9606.ENSP00000357055
1369,P29350,PTPN6 HCP PTP1C,9606.ENSP00000391592
1370,P54725,RAD23A,9606.ENSP00000467024
1371,Q8N0T1,RBIS C8orf59,9606.ENSP00000484492
1372,Q9BUV8,RAB5IF C20orf24 RCAF1 PNAS-11,9606.ENSP00000341213
1373,P62826,RAN ARA24 OK/SW-cl.81,9606.ENSP00000446215
1374,P61225,RAP2B,9606.ENSP00000319096
1375,Q14964,RAB39A RAB39,9606.ENSP00000322594
1376,Q15042,RAB3GAP1 KIAA0066 RAB3GAP,9606.ENSP00000411418
1377,Q09028,RBBP4 RBAP48,9606.ENSP00000362592
1378,O15541,RNF113A RNF113 ZNF183,9606.ENSP00000360497
1379,Q92698,RAD54L RAD54A,9606.ENSP00000361043
1380,Q99969,RARRES2 TIG2,9606.ENSP00000418009
1381,Q8TAC1,RFESD,9606.ENSP00000413592
1382,Q9H0T7,RAB17,9606.ENSP00000264601
1383,O75677,RFPL1 RFPL1L RNF78,9606.ENSP00000346342
1384,O94955,RHOBTB3 KIAA0878,9606.ENSP00000369318
1385,P35243,RCVRN RCV1,9606.ENSP00000226193
1386,Q9H4K1,RIBC2 C22orf11,9606.ENSP00000483356
1387,O14730,RIOK3 SUDD,9606.ENSP00000341874
1388,Q00765,REEP5 C5orf18 DP1 TB2,9606.ENSP00000368959
1389,Q96L33,RHOV ARHV WRCH2,9606.ENSP00000220507
1390,Q96EL3,MRPL53,9606.ENSP00000258105
1391,Q9NQ50,MRPL40 NLVCF URIM,9606.ENSP00000333401
1392,Q96DB5,RMDN1 FAM82B CGI-90,9606.ENSP00000385927
1393,Q6DKI1,RPL7L1,9606.ENSP00000418221
1394,Q9H777,ELAC1 D29,9606.ENSP00000269466
1395,P10153,RNASE2 EDN RNS2,9606.ENSP00000303276
1396,Q8WVD5,RNF141 ZNF230,9606.ENSP00000265981
1397,P25398,RPS12,9606.ENSP00000230050
1398,Q13296,SCGB2A2 MGB1 UGB2,9606.ENSP00000227918
1399,O95470,SGPL1 KIAA1252,9606.ENSP00000362298
1400,Q5VUM1,SDHAF4 C6orf57,9606.ENSP00000359505
1401,Q9BWW7,SCRT1,9606.ENSP00000455711
1402,Q92911,SLC5A5 NIS,9606.ENSP00000222248
1403,Q14141,SEPTIN6 KIAA0128 SEP2 SEPT6,9606.ENSP00000341524
1404,P31645,SLC6A4 HTT SERT,9606.ENSP00000261707
1405,Q9NQZ2,UTP3 CRLZ1 SAS10,9606.ENSP00000254803
1406,Q969T3,SNX21 C20orf161 SNXL,9606.ENSP00000418593
1407,Q6UXD5,SEZ6L2 PSK UNQ1903/PRO4349,9606.ENSP00000481917
1408,Q9NWH7,SPATA6,9606.ENSP00000360913
1409,Q9Y343,SNX24 SBBI31 UNQ654/PRO1284,9606.ENSP00000261369
1410,Q9UMY4,SNX12,9606.ENSP00000481314
1411,Q96A44,SPSB4 SSB4,9606.ENSP00000311609
1412,Q9BR10,SPATA25 C20orf165 TSG23,9606.ENSP00000361597
1413,Q9H3Y6,SRMS C20orf148,9606.ENSP00000217188
1414,Q9NX61,TMEM161A UNQ582/PRO1152,9606.ENSP00000162044
1415,Q8WUH6,TMEM263 C12orf23,9606.ENSP00000280756
1416,Q0VDI3,TMEM267 C5orf28,9606.ENSP00000426067
1417,Q9H4I9,SMDT1 C22orf32 EMRE,9606.ENSP00000327467
1418,P43897,TSFM,9606.ENSP00000313877
1419,P22413,ENPP1 M6S1 NPPS PC1 PDNP1,9606.ENSP00000354238
1420,Q05215,EGR4,9606.ENSP00000445626
1421,P36268,GGT2,9606.ENSP00000385721
1422,Q99928,GABRG3,9606.ENSP00000479113
1423,Q92805,GOLGA1,9606.ENSP00000362656
1424,Q9BXC0,HCAR1 GPR104 GPR81 HCA1 FKSG80,9606.ENSP00000389255
1425,P16401,H1-5 H1F5 HIST1H1B,9606.ENSP00000330074
1426,Q6ZW33,MICALCL,9606.ENSP00000256186
1427,Q96R48,OR2A5 OR2A26 OR2A8,9606.ENSP00000386208
1428,P04000,OPN1LW RCP,9606.ENSP00000358967
1429,Q8NGQ3,OR1S2,9606.ENSP00000305469
1430,Q8NGP9,OR5AR1,9606.ENSP00000485424
1431,P47887,OR1E2 OR1E4,9606.ENSP00000248384
1432,Q7L5N7,LPCAT2 AGPAT11 AYTL1,9606.ENSP00000262134
1433,Q96QZ0,PANX3,9606.ENSP00000284288
1434,Q9Y233,PDE10A,9606.ENSP00000438284
1435,Q4G0U5,CFAP221 PCDP1,9606.ENSP00000393222
1436,P68402,PAFAH1B2 PAFAHB,9606.ENSP00000435289
1437,O43924,PDE6D PDED,9606.ENSP00000287600
1438,P14222,PRF1 PFP,9606.ENSP00000398568
1439,A6NDG6,PGP,9606.ENSP00000330918
1440,Q8N2H9,PELI3,9606.ENSP00000322532
1441,Q99571,P2RX4,9606.ENSP00000353032
1442,Q5SRE7,PHYHD1,9606.ENSP00000309515
1443,P48651,PTDSS1 KIAA0024 PSSA,9606.ENSP00000430548
1444,Q9UQ74,PSG8,9606.ENSP00000305005
1445,P11217,PYGM,9606.ENSP00000164139
1446,P62910,RPL32 PP9932,9606.ENSP00000416429
1447,Q9H1D9,POLR3F,9606.ENSP00000366828
1448,Q9NRC8,SIRT7 SIR2L7,9606.ENSP00000329466
1449,Q15005,SPCS2 KIAA0102 SPC25,9606.ENSP00000263672
1450,P01286,GHRH GHRF,9606.ENSP00000362716
1451,A4D263,SPATA48 C7orf72,9606.ENSP00000297001
1452,O75264,SMIM24 C19orf77 HSPC323,9606.ENSP00000215531
1453,Q96QK8,SMIM14 C4orf34,9606.ENSP00000295958
1454,Q9NR46,SH3GLB2 KIAA1848 PP578,9606.ENSP00000361634
1455,Q6AI14,SLC9A4 NHE4,9606.ENSP00000295269
1456,O60279,SUSD5 KIAA0527,9606.ENSP00000308727
1457,O14543,SOCS3 CIS3 SSI3,9606.ENSP00000330341
1458,Q8N7X2,STPG3 C9orf173,9606.ENSP00000373583
1459,Q9Y6N5,SQOR SQRDL CGI-44,9606.ENSP00000260324
1460,P42229,STAT5A STAT5,9606.ENSP00000341208
1461,Q8NEQ6,SRARP C1orf64 ERRF SSPR,9606.ENSP00000332162
1462,Q9NUQ3,TXLNG CXorf15 ELRG LSR5,9606.ENSP00000369465
1463,Q6ZMZ3,SYNE3 C14orf139 C14orf49 LINC00341,9606.ENSP00000334308
1464,Q8N2H4,SYS1 C20orf169,9606.ENSP00000243918
1465,O15342,ATP6V0E1 ATP6H ATP6V0E,9606.ENSP00000429690
1466,Q15695,ZRSR2P1 U2AF1-RS1 U2AF1L1 U2AF1P U2AF1RS1 U2AFBPL ZRSR1,9606.ENSP00000375133
1467,P62913,RPL11,9606.ENSP00000363676
1468,Q6P161,MRPL54,9606.ENSP00000331849
1469,Q01973,ROR1 NTRKR1,9606.ENSP00000360120
1470,P62269,RPS18 D6S218E,9606.ENSP00000393241
1471,P62273,RPS29,9606.ENSP00000379339
1472,A1A5C7,SLC22A23 C6orf85,9606.ENSP00000385028
1473,Q96ER3,SAAL1,9606.ENSP00000432487
1474,P29377,S100G CABP9K CALB3 S100D,9606.ENSP00000369547
1475,Q8N8I0,SAMD12,9606.ENSP00000314173
1476,Q8NBW4,SLC38A9 URLC11,9606.ENSP00000380074
1477,P04271,S100B,9606.ENSP00000291700
1478,Q9UN76,SLC6A14,9606.ENSP00000470801
1479,P63162,SNRPN HCERN3 SMN,9606.ENSP00000382972
1480,Q9NRA2,SLC17A5,9606.ENSP00000348019
1481,Q96FQ6,S100A16 S100F AAG13,9606.ENSP00000357693
1482,Q9NSI8,SAMSN1 HACS1,9606.ENSP00000285670
1483,Q9H4I8,SERHL2 SERHL,9606.ENSP00000331376
1484,Q6ZU15,SEPTIN14 SEPT14,9606.ENSP00000373627
1485,Q9BWJ5,SF3B5 SF3B10,9606.ENSP00000356541
1486,O75920,SERF1A FAM2A SERF1 SMAM1; SERF1B FAM2B SERF1 SMAM1,9606.ENSP00000370126
